date,sensor,data
12-10-2018 19:00:08,P10,282
12-10-2018 19:00:08,P11,251
12-10-2018 19:00:08,P12,264
12-10-2018 19:00:15,F20,532
12-10-2018 19:10:01,F10,571
12-10-2018 19:10:08,P10,283
12-10-2018 19:10:08,P11,253
12-10-2018 19:10:08,P12,266
12-10-2018 19:10:15,F20,530
12-10-2018 19:20:01,F10,575
12-10-2018 19:20:08,P10,283
12-10-2018 19:20:08,P11,253
12-10-2018 19:20:08,P12,265
12-10-2018 19:20:15,F20,533
12-10-2018 19:30:01,F10,580
12-10-2018 19:30:08,P10,284
12-10-2018 19:30:08,P11,254
12-10-2018 19:30:08,P12,266
12-10-2018 19:30:15,F20,533
12-10-2018 19:40:01,F10,579
12-10-2018 19:40:09,P10,283
12-10-2018 19:40:09,P11,253
12-10-2018 19:40:09,P12,266
12-10-2018 19:40:16,F20,532
12-10-2018 19:50:01,F10,580
12-10-2018 19:50:08,P10,284
12-10-2018 19:50:08,P11,254
12-10-2018 19:50:08,P12,267
12-10-2018 19:50:15,F20,532
12-10-2018 20:00:01,F10,583
12-10-2018 20:00:08,P10,284
12-10-2018 20:00:08,P11,253
12-10-2018 20:00:08,P12,266
12-10-2018 20:00:15,F20,533
12-10-2018 20:10:01,F10,584
12-10-2018 20:10:09,P10,283
12-10-2018 20:10:09,P11,253
12-10-2018 20:10:09,P12,266
12-10-2018 20:10:16,F20,533
12-10-2018 20:20:01,F10,587
12-10-2018 20:20:08,P10,285
12-10-2018 20:20:08,P11,255
12-10-2018 20:20:08,P12,267
12-10-2018 20:20:15,F20,535
12-10-2018 20:30:01,F10,583
12-10-2018 20:30:08,P10,284
12-10-2018 20:30:08,P11,253
12-10-2018 20:30:08,P12,266
12-10-2018 20:30:15,F20,537
12-10-2018 20:40:01,F10,588
12-10-2018 20:40:08,P10,285
12-10-2018 20:40:08,P11,255
12-10-2018 20:40:08,P12,268
12-10-2018 20:40:15,F20,534
12-10-2018 20:50:01,F10,590
12-10-2018 20:50:08,P10,285
12-10-2018 20:50:08,P11,255
12-10-2018 20:50:08,P12,268
12-10-2018 20:50:15,F20,537
12-10-2018 21:00:01,F10,591
12-10-2018 21:00:08,P10,286
12-10-2018 21:00:08,P11,255
12-10-2018 21:00:08,P12,268
12-10-2018 21:00:16,F20,534
12-10-2018 21:10:01,F10,592
12-10-2018 21:10:08,P10,286
12-10-2018 21:10:08,P11,256
12-10-2018 21:10:08,P12,268
12-10-2018 21:10:15,F20,533
12-10-2018 21:20:01,F10,591
12-10-2018 21:20:08,P10,285
12-10-2018 21:20:08,P11,255
12-10-2018 21:20:08,P12,268
12-10-2018 21:20:15,F20,538
12-10-2018 21:30:02,F10,588
12-10-2018 21:30:09,P10,285
12-10-2018 21:30:09,P11,255
12-10-2018 21:30:09,P12,268
12-10-2018 21:30:16,F20,535
12-10-2018 21:40:01,F10,587
12-10-2018 21:40:08,P10,286
12-10-2018 21:40:08,P11,256
12-10-2018 21:40:08,P12,268
12-10-2018 21:40:15,F20,536
12-10-2018 21:50:01,F10,588
12-10-2018 21:50:08,P10,286
12-10-2018 21:50:08,P11,256
12-10-2018 21:50:08,P12,268
12-10-2018 21:50:15,F20,538
